date,temperature_2m,precipitation,rain,wind_speed_10m
2026-02-07 06:00:00,7.3,0.0,0.0,13.7
2026-02-07 07:00:00,7.2,0.0,0.0,13.7
2026-02-07 08:00:00,7.8,1.0,1.0,15.6
2026-02-07 09:00:00,8.2,0.9,0.9,17.6
2026-02-07 10:00:00,8.8,0.1,0.1,17.5
2026-02-07 11:00:00,9.0,0.3,0.3,18.7
2026-02-07 12:00:00,8.8,0.5,0.5,11.2
2026-02-07 13:00:00,10.4,0.1,0.1,13.5
2026-02-07 14:00:00,10.6,0.2,0.2,16.1
2026-02-07 15:00:00,10.6,0.0,0.0,12.8
2026-02-07 16:00:00,10.1,0.0,0.0,13.2
2026-02-07 17:00:00,9.6,0.0,0.0,12.4
2026-02-07 18:00:00,9.9,0.0,0.0,13.5
2026-02-07 19:00:00,9.5,0.0,0.0,13.7
2026-02-07 20:00:00,9.1,0.0,0.0,13.0
2026-02-07 21:00:00,8.9,0.0,0.0,12.2
2026-02-07 22:00:00,8.6,0.0,0.0,11.3
2026-02-07 23:00:00,8.1,0.0,0.0,10.1
2026-02-08 00:00:00,8.5,0.0,0.0,10.1
2026-02-08 01:00:00,8.2,0.0,0.0,10.3
2026-02-08 02:00:00,7.9,0.0,0.0,9.8
2026-02-08 03:00:00,7.1,0.0,0.0,7.1
2026-02-08 04:00:00,6.6,0.0,0.0,6.5
2026-02-08 05:00:00,6.7,0.0,0.0,6.8
2026-02-08 06:00:00,7.1,0.0,0.0,7.8
2026-02-08 07:00:00,6.8,0.0,0.0,6.6
2026-02-08 08:00:00,6.7,0.0,0.0,7.7
2026-02-08 09:00:00,7.8,0.0,0.0,9.2
2026-02-08 10:00:00,9.4,0.0,0.0,10.2
2026-02-08 11:00:00,9.9,0.0,0.0,10.5
2026-02-08 12:00:00,10.2,0.0,0.0,9.1
2026-02-08 13:00:00,10.4,0.0,0.0,9.9
2026-02-08 14:00:00,10.6,0.0,0.0,9.7
2026-02-08 15:00:00,10.2,0.0,0.0,10.1
2026-02-08 16:00:00,9.9,0.0,0.0,8.9
2026-02-08 17:00:00,9.1,0.0,0.0,9.8
2026-02-08 18:00:00,8.9,0.0,0.0,8.9
2026-02-08 19:00:00,8.8,0.1,0.1,9.7
2026-02-08 20:00:00,8.8,0.1,0.1,10.1
2026-02-08 21:00:00,8.2,0.1,0.1,10.7
2026-02-08 22:00:00,7.9,0.2,0.2,9.4
2026-02-08 23:00:00,7.7,0.2,0.2,9.1
2026-02-09 00:00:00,7.8,0.2,0.2,9.5
2026-02-09 01:00:00,7.6,0.0,0.0,12.2
2026-02-09 02:00:00,7.7,0.0,0.0,11.1
2026-02-09 03:00:00,7.4,0.0,0.0,9.4
2026-02-09 04:00:00,7.2,0.0,0.0,8.3
2026-02-09 05:00:00,6.9,0.0,0.0,7.7
2026-02-09 06:00:00,6.8,0.0,0.0,8.9
2026-02-09 07:00:00,6.4,0.8,0.8,9.5
2026-02-09 08:00:00,6.8,1.7,1.7,10.3
2026-02-09 09:00:00,7.8,0.0,0.0,10.3
2026-02-09 10:00:00,9.0,0.0,0.0,11.0
2026-02-09 11:00:00,9.8,0.0,0.0,12.9
2026-02-09 12:00:00,9.6,0.2,0.2,11.3
2026-02-09 13:00:00,10.1,0.1,0.1,12.7
2026-02-09 14:00:00,10.1,0.0,0.0,14.9
2026-02-09 15:00:00,9.8,0.1,0.1,14.2
2026-02-09 16:00:00,9.2,0.0,0.0,12.9
2026-02-09 17:00:00,8.4,0.0,0.0,13.9
2026-02-09 18:00:00,7.7,0.0,0.0,13.8
2026-02-09 19:00:00,7.5,1.0,1.0,13.3
2026-02-09 20:00:00,7.7,0.0,0.0,14.5
2026-02-09 21:00:00,7.8,0.2,0.2,14.0
2026-02-09 22:00:00,7.9,0.1,0.1,12.9
2026-02-09 23:00:00,8.0,0.0,0.0,11.9
2026-02-10 00:00:00,7.9,0.0,0.0,11.7
2026-02-10 01:00:00,7.6,0.0,0.0,10.3
2026-02-10 02:00:00,7.7,0.0,0.0,8.2
2026-02-10 03:00:00,7.8,0.0,0.0,7.9
2026-02-10 04:00:00,7.8,0.0,0.0,5.6
2026-02-10 05:00:00,7.7,0.0,0.0,6.0
2026-02-10 06:00:00,7.9,0.0,0.0,6.1
2026-02-10 07:00:00,7.9,0.0,0.0,5.5
2026-02-10 08:00:00,8.0,0.0,0.0,6.0
2026-02-10 09:00:00,8.4,0.0,0.0,7.3
2026-02-10 10:00:00,9.1,0.0,0.0,8.2
2026-02-10 11:00:00,9.6,0.1,0.1,7.6
2026-02-10 12:00:00,10.8,0.1,0.1,11.3
2026-02-10 13:00:00,11.1,0.1,0.1,11.9
2026-02-10 14:00:00,11.4,0.1,0.1,14.5
2026-02-10 15:00:00,10.8,0.0,0.0,13.2
2026-02-10 16:00:00,10.2,1.2,1.2,9.9
2026-02-10 17:00:00,9.6,0.6,0.6,10.6
2026-02-10 18:00:00,9.2,1.4,1.4,6.9
2026-02-10 19:00:00,8.9,0.1,0.1,6.9
2026-02-10 20:00:00,9.1,0.0,0.0,6.9
2026-02-10 21:00:00,9.3,0.0,0.0,4.0
2026-02-10 22:00:00,9.6,0.0,0.0,9.0
2026-02-10 23:00:00,9.8,0.0,0.0,10.1
2026-02-11 00:00:00,9.7,0.0,0.0,7.5
2026-02-11 01:00:00,9.6,0.0,0.0,6.0
2026-02-11 02:00:00,9.6,0.0,0.0,6.1
