date,Traffic
2026-01-29 00:00:00,73.16
2026-01-29 01:00:00,71.31
2026-01-29 02:00:00,67.61
2026-01-29 03:00:00,64.83
2026-01-29 04:00:00,73.16
2026-01-29 05:00:00,78.72
2026-01-29 06:00:00,79.65
2026-01-29 07:00:00,80.57
2026-01-29 08:00:00,77.79
2026-01-29 09:00:00,70.39
2026-01-29 10:00:00,71.31
2026-01-29 11:00:00,71.31
2026-01-29 12:00:00,74.09
2026-01-29 13:00:00,82.43
2026-01-29 14:00:00,83.35
2026-01-29 15:00:00,83.35
2026-01-29 16:00:00,75.94
2026-01-29 17:00:00,75.94
2026-01-29 18:00:00,80.57
2026-01-29 19:00:00,81.5
2026-01-29 20:00:00,81.5
2026-01-29 21:00:00,86.13
2026-01-29 22:00:00,78.72
2026-01-29 23:00:00,77.79
2026-01-30 00:00:00,72.24
2026-01-30 01:00:00,74.09
2026-01-30 02:00:00,69.46
2026-01-30 03:00:00,72.24
2026-01-30 04:00:00,77.79
2026-01-30 05:00:00,82.43
2026-01-30 06:00:00,80.57
2026-01-30 07:00:00,78.72
2026-01-30 08:00:00,74.09
2026-01-30 09:00:00,67.61
2026-01-30 10:00:00,68.53
2026-01-30 11:00:00,68.53
2026-01-30 12:00:00,78.72
2026-01-30 13:00:00,82.43
2026-01-30 14:00:00,92.61
2026-01-30 15:00:00,88.91
2026-01-30 16:00:00,91.69
2026-01-30 17:00:00,87.98
2026-01-30 18:00:00,80.57
2026-01-30 19:00:00,79.65
2026-01-30 20:00:00,84.28
2026-01-30 21:00:00,81.5
2026-01-30 22:00:00,78.72
2026-01-30 23:00:00,75.02
2026-01-31 00:00:00,69.46
2026-01-31 01:00:00,67.61
2026-01-31 02:00:00,73.16
2026-01-31 03:00:00,66.68
2026-01-31 04:00:00,69.46
2026-01-31 05:00:00,72.24
2026-01-31 06:00:00,67.61
2026-01-31 07:00:00,68.53
2026-01-31 08:00:00,58.35
2026-01-31 09:00:00,59.27
2026-01-31 10:00:00,59.27
2026-01-31 11:00:00,58.35
2026-01-31 12:00:00,60.2
2026-01-31 13:00:00,62.05
2026-01-31 14:00:00,67.61
2026-01-31 15:00:00,57.42
2026-01-31 16:00:00,56.49
2026-01-31 17:00:00,63.9
2026-01-31 18:00:00,62.98
2026-01-31 19:00:00,62.05
2026-01-31 20:00:00,64.83
2026-01-31 21:00:00,61.12
2026-01-31 22:00:00,62.05
2026-01-31 23:00:00,67.61
2026-02-01 00:00:00,72.24
2026-02-01 01:00:00,75.94
2026-02-01 02:00:00,78.72
2026-02-01 03:00:00,75.02
2026-02-01 04:00:00,68.53
2026-02-01 05:00:00,73.16
2026-02-01 06:00:00,67.61
2026-02-01 07:00:00,65.76
2026-02-01 08:00:00,62.05
2026-02-01 09:00:00,61.12
2026-02-01 10:00:00,62.05
2026-02-01 11:00:00,66.68
2026-02-01 12:00:00,72.24
2026-02-01 13:00:00,72.24
2026-02-01 14:00:00,68.53
